"elementName", "elementContent", "typeAttributeIfPresent"
"persName", "Taylor's", "", "#taylor_william"
"persName", "Taylor's", "", "#taylor_william"
"persName", "Taylor's", "", "#taylor_william"
"persName", "Taylor's", "", "#taylor_william"
"persName", "The chauffeur (Chauncey Eaton)", "", ""
"persName", "William Desmond Taylor", "", "#taylor_william"
"persName", "William Desmond Taylor", "", "#taylor_william"
"persName", "William Desmond Taylor", "", "#taylor_william"
"persName", "William Desmond Taylor", "", "#taylor_william"
"persName", "chauffeur", "", ""
"persName", "me", "", "#shelby_charlotte"
"persName", "mother", "", "#minter_mary"
"persName", "mother", "", "#minter_mary"
"persName", "my daughter", "", "#minter_mary"
"persName", "night watchman", "", ""
"persName", "secretary", "", "#whitney_charlotte"
"persName", "she", "", "#minter_mary"
"placeName", "56 Fremont Place. ", "", ""
"placeName", "Charlotte Whitney's house", "", ""
"placeName", "Hobart house", "", ""
"placeName", "Santa Barbara", "", ""
"placeName", "Santa Barbara", "", ""
"placeName", "Vermont", "", ""
"placeName", "back door", "", ""
"placeName", "bank", "", ""
"placeName", "driveway", "", ""
"placeName", "floor", "#furniture", ""
"placeName", "front room", "", ""
"placeName", "home", "", ""
"placeName", "home", "", ""
"placeName", "house", "", ""
"placeName", "jewelry shop", "", ""
"placeName", "kitchen", "", ""
"placeName", "room", "", ""
"placeName", "studio", "", ""
"placeName", "studio", "", ""
"placeName", "the east", "", ""
"placeName", "the office", "", ""
"placeName", "this room", "", ""
"placeName", "upstairs", "", ""
